pokemon_name,normalized_name,source_path,output_path
phantump,phantump,data/raw_images/_extracted/images/Phantump/1.jpg,data/images/phantump.jpg
alomomola,alomomola,data/raw_images/_extracted/images/Alomomola/1.jpg,data/images/alomomola.jpg
staravia,staravia,data/raw_images/_extracted/images/Staravia/1.jpg,data/images/staravia.jpg
goldeen,goldeen,data/raw_images/_extracted/images/Goldeen/2.jpg,data/images/goldeen.jpg
eelektrik,eelektrik,data/raw_images/_extracted/images/Eelektrik/1.jpg,data/images/eelektrik.jpg
crobat,crobat,data/raw_images/_extracted/images/Crobat/2.jpg,data/images/crobat.jpg
venusaur,venusaur,data/raw_images/_extracted/images/Venusaur/4.jpg,data/images/venusaur.jpg
clamperl,clamperl,data/raw_images/_extracted/images/Clamperl/1.jpg,data/images/clamperl.jpg
gabite,gabite,data/raw_images/_extracted/images/Gabite/1.jpg,data/images/gabite.jpg
sylveon,sylveon,data/raw_images/_extracted/images/Sylveon/2.jpg,data/images/sylveon.jpg
scizor,scizor,data/raw_images/_extracted/images/Scizor/4.jpg,data/images/scizor.jpg
cherubi,cherubi,data/raw_images/_extracted/images/Cherubi/1.jpg,data/images/cherubi.jpg
shelgon,shelgon,data/raw_images/_extracted/images/Shelgon/1.jpg,data/images/shelgon.jpg
zangoose,zangoose,data/raw_images/_extracted/images/Zangoose/1.jpg,data/images/zangoose.jpg
flareon,flareon,data/raw_images/_extracted/images/Flareon/2.jpg,data/images/flareon.jpg
druddigon,druddigon,data/raw_images/_extracted/images/Druddigon/1.jpg,data/images/druddigon.jpg
clawitzer,clawitzer,data/raw_images/_extracted/images/Clawitzer/1.jpg,data/images/clawitzer.jpg
relicanth,relicanth,data/raw_images/_extracted/images/Relicanth/1.jpg,data/images/relicanth.jpg
typhlosion,typhlosion,data/raw_images/_extracted/images/Typhlosion/2.jpg,data/images/typhlosion.jpg
hydreigon,hydreigon,data/raw_images/_extracted/images/Hydreigon/1.jpg,data/images/hydreigon.jpg
jigglypuff,jigglypuff,data/raw_images/_extracted/images/Jigglypuff/2.jpg,data/images/jigglypuff.jpg
doduo,doduo,data/raw_images/_extracted/images/Doduo/2.jpg,data/images/doduo.jpg
reuniclus,reuniclus,data/raw_images/_extracted/images/Reuniclus/1.jpg,data/images/reuniclus.jpg
buizel,buizel,data/raw_images/_extracted/images/Buizel/1.jpg,data/images/buizel.jpg
weedle,weedle,data/raw_images/_extracted/images/Weedle/2.jpg,data/images/weedle.jpg
aipom,aipom,data/raw_images/_extracted/images/Aipom/2.jpg,data/images/aipom.jpg
pachirisu,pachirisu,data/raw_images/_extracted/images/Pachirisu/1.jpg,data/images/pachirisu.jpg
registeel,registeel,data/raw_images/_extracted/images/Registeel/1.jpg,data/images/registeel.jpg
galvantula,galvantula,data/raw_images/_extracted/images/Galvantula/1.jpg,data/images/galvantula.jpg
vileplume,vileplume,data/raw_images/_extracted/images/Vileplume/2.jpg,data/images/vileplume.jpg
togekiss,togekiss,data/raw_images/_extracted/images/Togekiss/1.jpg,data/images/togekiss.jpg
beldum,beldum,data/raw_images/_extracted/images/Beldum/2.jpg,data/images/beldum.jpg
shiftry,shiftry,data/raw_images/_extracted/images/Shiftry/1.jpg,data/images/shiftry.jpg
archeops,archeops,data/raw_images/_extracted/images/Archeops/1.jpg,data/images/archeops.jpg
skuntank,skuntank,data/raw_images/_extracted/images/Skuntank/1.jpg,data/images/skuntank.jpg
wailmer,wailmer,data/raw_images/_extracted/images/Wailmer/1.jpg,data/images/wailmer.jpg
arcanine,arcanine,data/raw_images/_extracted/images/Arcanine/2.jpg,data/images/arcanine.jpg
klinklang,klinklang,data/raw_images/_extracted/images/Klinklang/1.jpg,data/images/klinklang.jpg
tentacruel,tentacruel,data/raw_images/_extracted/images/Tentacruel/2.jpg,data/images/tentacruel.jpg
vigoroth,vigoroth,data/raw_images/_extracted/images/Vigoroth/1.jpg,data/images/vigoroth.jpg
krookodile,krookodile,data/raw_images/_extracted/images/Krookodile/1.jpg,data/images/krookodile.jpg
karrablast,karrablast,data/raw_images/_extracted/images/Karrablast/1.jpg,data/images/karrablast.jpg
lumineon,lumineon,data/raw_images/_extracted/images/Lumineon/1.jpg,data/images/lumineon.jpg
vivillon,vivillon,data/raw_images/_extracted/images/Vivillon/4.jpg,data/images/vivillon.jpg
volbeat,volbeat,data/raw_images/_extracted/images/Volbeat/1.jpg,data/images/volbeat.jpg
gloom,gloom,data/raw_images/_extracted/images/Gloom/2.jpg,data/images/gloom.jpg
charmeleon,charmeleon,data/raw_images/_extracted/images/Charmeleon/2.jpg,data/images/charmeleon.jpg
solosis,solosis,data/raw_images/_extracted/images/Solosis/1.jpg,data/images/solosis.jpg
articuno,articuno,data/raw_images/_extracted/images/Articuno/4.jpg,data/images/articuno.jpg
